Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
42;1;Lingerie;Femme;0;Ce rayon propose les plus grandes marques de lingerie féminine. Culotte Dim, string Aubade, soutien-gorge Triumph, Wonderbra, Chantelle, Bestform ou Playtex : grand choix de sous-vêtements femme pour toutes les tailles de bonnet. Push-up pour un joli décolleté ou brassière grande taille pour un maintien optimal des poitrines généreuses : à chacune son secret de beauté. Pour de belles formes et des hanches sculptées, opter pour le panty minceur ou la culotte ajustante. Pratique : la boutique de lingerie en ligne dispose d'une table de mensuration pour choisir la bonne taille de soutien-gorge. ;;;;lingerie;
43;1;Chaussures Femme;Femme;0;"Les tendances se suivent mais ne se ressemblent pas. Découvrez notre large collection de chaussures pour trouver celle qui vous fera plaisir et donnera une touche de féminité à votre tenue. Les tendances se suivent mais ne se ressemblent pas. Découvrez notre large collection de chaussures pour trouver celle qui vous fera plaisir et donnera une touche de féminité à votre tenue.

Les chaussures femme pour l'été

En été, vous opterez certainement pour des chaussures ouvertes, aussi appelées nu pieds. Aussi agréables qu'originales, ornées de perles ou de bijoux fantaisie, ces chaussures dégagent une vraie sensation de liberté.

Indétrônables depuis plusieurs saisons, les sandales compensées sont une valeur sûre du shoesing d‘été. A la fois légères et confortables, elles offrent une belle cambrure au pied et une silhouette élancée.
L’espadrille est une chaussure faite en toile et dotée d’une semelle en corde de chanvre tressé. Elle fait partie de ces produit authentiques du style à la française. Choisissez-la en toile unie, colorée, imprimée, à paillettes, mais aussi en cuir, à talons compensés ou encore nouée à la cheville. Elles sont idéales en journée comme en soirée, à l'intérieur ou à l'extérieur.
Les sandales plates ou les spartiates accompagnent les robes légères pour une apparence bohème chic. Ces chaussures plates et féminines se portent pour toutes les occasions, pour un look à la fois décontracté et élégant.
Les ballerines sont un indémodable. Faciles à enfiler, elles font parties des basiques de votre garde robe et vous offrent un confort absolu . Optez pour une forme slippers pour rester à la pointe de la mode.

Les chaussures femme mi-saison

Style mi-détente mi-habillé, on appréciera les baskets . Basses ou montantes, les baskets pour femme ont le vent en poupe et cette tendance n’est pas prête de s’arrêter ! Ces chaussures permettent d’allier style et confort toute l’année. A scratch, votre paire devient encore plus facile à enfiler. Dotée d’une semelle épaisse et de lacets résistants, la basket devient idéale pour la pratique sportive telle que la course à pied, ou pour un look streetwear.
Les derbies, classiques dans leur forme et confortables par leurs matières sont à porter au quotidien sans modération. Vernies, décoré de perforation, nude, bicolore ou à clou, elle s’adapte à tous les styles : du plus classique au plus chic en passant par le look Rock’n Roll.
Le plus souvent sans lacet et en cuir, les mocassins sont plus larges et souples que les derbies. Les plus célèbres sont les mocassins à glands ou à franges.
L’escarpin est la chaussure chic et glamour par excellence ! A talon haut et fin de type stiletto, ou large et carré, à bout pointu ou rond, à plateforme, à bride… Les escarpins se déclinent dans tous les styles et pour toutes les saisons !

Les chaussures femme pour l'hiver

Chaudes ou imperméables, les bottes deviennent la pièce de choix de toutes vos tenues de saison. Si la tige est très haute, il s’agit alors de cuissardes. Portez-les avec une robe oversize, un short ou votre jean slim préféré pour être plus que jamais tendance cet hiver. N’oubliez pas de bien choisir votre talon et la largeur de mollet pour qu’elle s’adapte à votre galbe.
Enfin, les boots ou bottines femme sont aussi pratiques que stylées pour passer un hiver les pieds au chaud. Certaines s’enfilent toutes seules, alors que d’autres sont dotées de lacets ou de sangles. Les marques iconiques comme Dr Martens ou Timberland vous offrent des bottines très confortables et indémodables.";;;;chaussures-femme;
44;1;Sport Femme;Femme;0;Les chaussures femme pour l'été;;;;sport-femme;
51;1;Ado Garçon;Ado;0;"Du 10 au 16 ans, votre garçon ado peux dès aujourd’hui choisir des vêtements tendances qui correspondent à ses goûts et soient confortables. Au fil des saisons, les articles diffèrent mais les besoins restent similaires : confort et style. En été, T-shirt, polo manches courtes, short, bermuda et maillot de bain lui permettront de profiter pleinement de la chaleur. Quand l’hiver arrive, choisissez des tenues chaudes pour affronter le froid : manteau, blouson, sweat, pull, jean, pantalon épais ou gilet se marieront à la perfection pour rester à la mode. Une sélection de chaussures aux styles différents viendra aussi combler votre bonheur. Des baskets aux boots en passant par les sandales ou les chaussures bateau, le choix est large et lui permettra de trouver son style. Enfin, n’oubliez pas les pyjamas pour une nuit cosy, ainsi que de jolis sous-vêtements tout doux pour se sentir bien. La mode ado garçon se renouvelle sans-cesse, avec des imprimés et des formes qui évoluent. Nos vêtements sont étudiés pour résister à l’activité de votre enfant. Votre ado grandit, il devra renouveler sa garde-robe régulièrement, c’est pour cela que nous vous proposons des prix abordables.  
Un style branché au quotidien avec les vêtements d'ados garçons
 
Une grande variété de vêtements ado garçon vous est proposée ici. T-shirts, sweatshirts, jeans ou pulls : il y en a pour tous les goûts et toutes les envies. Confectionnés dans des matières légères et agréables, les vêtements s'adaptent à toutes les situations et à la morphologie de chacun. Pour compléter la garde-robe de votre enfant, vous pouvez acheter une doudoune, des chemisettes ou encore des shorts. Veillez à ce que votre adolescent possède des pièces légères qu'il portera en été, mais aussi des vêtements plus chauds, comme un manteau ou des polos à manches longues, pour supporter les températures basses de l'hiver. Un coupe-vent peut également se révéler pratique. Quelques blousons lui permettront de faire un choix et de suivre les tendances de la mode. Un pantalon de costume type chino, quant à lui, sera parfait pour les grandes occasions ou les événements importants.";;;;ado-garcon;
52;1;Ado Fille;Ado;0;Les enfants grandissent à une vitesse incroyable. Le renouvellement du dressing est indispensable surtout pour les jeunes ados qui veulent toujours être tendance. Tee-shirts, pantalons ou son pull en maille préféré, plus rien ne va à votre fille ! Il est temps de renouveler sa garde-robe. Elle grandit tellement vite que vous ne souhaitez pas investir un gros budget shopping. Cela tombe bien, nous vous proposons une large gamme de vêtements pour filles à petits prix. Parfois la mode ado vous échappe et vous avez peur de faire le mauvais choix ? Il vaut mieux la consulter, surtout durant cette période de la vie où elle se forge son identité. Elle a repéré un joli chemisier ou elle a jeté son dévolu sur un jean Skinny ou un pantalon slim, laissez-la donc faire sa sélection tout en gardant la décision finale. Proposez-lui aussi un legging, pour qu'elle dispose d'une tenue confortable pour ses activités sportives ou guidez là pour l'achat d'une robe, d'une jupe ou d'un sweat. ;;;;ado-fille;
61;1;Enfant Garçon;Enfant;0;Toute l'année les dernières collections de prêt-à-porter de grandes marques de mode enfant, IKKS Junior, Vertbaudet, Kickers, Benetton, Adidas. Dans tous les styles et pour toutes les occasions : vêtements de sport, pantalon d'été, polo garçon, veste de pluie, chaussures enfant, costume de cérémonie, en résumé, tout pour habiller les petits hommes de la tête aux pieds sans se ruiner. Plein d'idées mode pour jouer avec les tendances et faire plaisir aux enfants sages. Côté héros des garçons : chaussettes Cars, slips Spider Man et pyjamas Disney restent des valeurs sûres. ;;;;enfant-garcon;
62;1;Enfant Fille;Enfant;0;Robe d'été, jupe et collants d'hiver, jean slim pour enfants, pantalon fantaisie, pull en laine et polo fille en coton. Couleurs caractéristiques, motifs naïfs et tons pastel : la mode enfant joue avec les styles en toute saison. Confort et coquetterie assurés grâce au large choix de sous-vêtements enfant, chaussures ballerines et maillots de bain fille de grandes marques. Parmi les nouvelles collections de vêtements enfant : IKKS Junior, Mango Kids, Monoprix Kids, Vertbaudet. ;;;;enfant-fille;
311;1;Manteau Doudoune Homme;Vêtements Homme;0;L'hiver approche, il est temps de ressortir vos manteaux chauds pour affronter le froid. Que vous choisissiez un style plus classique ou moderne, les manteaux et doudounes pour homme offrent une variété d'options. Parmi les manteaux, vous pouvez trouver des modèles en laine, en cachemire, en coton ou en cuir et des styles comme le trench-coat classique, le caban décontracté et le pardessus élégant. Les doudounes peuvent être légères et compressibles ou plus épaisses pour vous protéger du froid extrême. ;;;;manteau-doudoune-homme;
312;1;Pull Gilet Sweat Homme;Vêtements Homme;0;Préférez-vous un pull, un gilet ou encore un sweat ? Êtes-vous à l'affût des dernières tendances ? Vous trouverez ici tout ce qui satisfera vos envies, des polaires douillettes aux pulls fantaisie, en passant par les gilets confortables. Choisissez votre style préféré parmi les cols ronds ou en V ainsi que les manches longues ou courtes. Profitez d'une large sélection de hauts chauds toute l'année. Les incontournables de cet hiver sont également présents tels que les sweats zippés, à capuche et les pulls en maille épaisse. Découvrez notre incroyable collection de pulls, gilets et sweats pour une garde-robe à la fois tendance et confortable. Que vous préfériez vous emmitoufler dans un pull doux, vous glisser dans un gilet élégant ou vous envelopper dans un sweat décontracté, nous avons exactement ce qu'il vous faut. Plongez dans les dernières tendances et laissez-nous satisfaire toutes vos envies. Des motifs fantaisie aux textures douillettes en passant par des coupes flatteuses, nous avons sélectionné pour vous une gamme de pièces uniques qui vous feront craquer. Choisissez parmi une variété de styles, des cols ronds classiques aux encolures en V élégantes, des manches longues parfaites pour les journées fraîches aux manches courtes pour une allure décontractée. Quelle que soit votre préférence, nous avons le haut idéal pour compléter votre look. Nos hauts chauds sont disponibles toute l'année, vous permettant de rester au chaud et à la mode en toutes saisons. Et ne manquez pas nos incontournables de l'hiver, notamment les sweats zippés ultra-tendance, les sweats à capuche pour une touche streetwear et les pulls en maille épaisse pour une allure cosy. Chez nous, vous trouverez tout ce dont vous avez besoin pour rester stylé(e) et à l'aise. Explorez notre collection de pulls, gilets et sweats dès maintenant et créez des tenues qui feront tourner les têtes. ;;;;pull-gilet-sweat-homme;
313;1;Pantalon Homme;Vêtements Homme;0;Grand classique de la garde-robe masculine, le pantalon pour homme se décline en tous les tons et styles. Chaussures et survêtements ne sont qu'accessoires et se déclinent en fonction du choix du pantalon. Le pantalon homme slim convient parfaitement aux hommes fins pas trop minces. Le pantalon regular fait partie des indispensables et convient à pratiquement toutes les morphologies masculines. Pour un look plus sportif ou camouflant les rondeurs, choisir un pantalon homme large, effet 'baggy' ou encore modèle battle droit, plus casual. ;;;;pantalon-homme;
314;1;Veste Blouson Homme;Vêtements Homme;0;Pour bien choisir une veste ou un blouson pour homme, il est important de prendre en compte plusieurs critères. Tout d'abord, le style et l'utilisation que vous souhaitez en faire. Si vous cherchez une veste pour des activités sportives, privilégiez les modèles légers et aérés. Si vous cherchez plutôt une veste pour des occasions formelles, optez pour des modèles plus élégants et sophistiqués. Ensuite, la matière est également un critère important à considérer. Le cuir est une option classique qui apporte chaleur et durabilité tandis que les vestes en toile sont plus légères et faciles à entretenir. Enfin, n'oubliez pas de prendre en compte votre morphologie et de choisir une taille adaptée pour un confort optimal. Lorsque vous portez une veste ou un blouson pour homme, il est important de bien choisir les pièces qui l'accompagnent afin de créer un look harmonieux. Pour un style décontracté, vous pouvez associer votre veste en cuir avec un t-shirt uni et un jean brut. Les baskets blanches compléteront parfaitement ce look casual chic. Si vous optez plutôt pour une veste plus habillée, vous pouvez la porter avec une chemise blanche et un pantalon chino beige pour un style élégant et sophistiqué. N'oubliez pas d'ajouter une paire de chaussures habillées comme des derbies ou des mocassins pour parfaire votre tenue. Enfin, si vous voulez jouer sur le contraste entre le haut et le bas de votre tenue, vous pouvez associer votre veste en toile à un pantalon en cuir noir pour un look rock and roll assumé. Si vous êtes à la recherche d'une veste ou d'un blouson pour homme, le site internet de La Redoute est le lieu parfait pour trouver votre bonheur. Avec une large sélection de marques et de modèles différents, vous êtes sûr de trouver la pièce qui correspondra à vos critères. De plus, le site propose régulièrement des promotions et des réductions intéressantes sur les vestes et blousons pour homme, ce qui vous permettra de faire des économies tout en restant tendance. Enfin, grâce aux avis clients disponibles sur chaque produit, vous pourrez avoir un aperçu des retours d'autres acheteurs avant de faire votre choix. Alors n'hésitez plus et rendez-vous sur le site internet de La Redoute pour trouver la veste ou le blouson homme parfait pour compléter votre garde-robe !;;;;veste-blouson-homme;
315;1;T-shirt Homme;Vêtements Homme;0;L’avantage du tee-shirt, c’est qu’il existe de nombreuses associations possibles, pour créer des tenues à la fois raffinées et décontractées. Avant toute chose, adoptez quelques bons réflexes mode pour bien porter votre tee-shirt. S’il s’agit d’un col rond, faites en sorte que ce dernier s’arrête à peu près au niveau de vos clavicules. Pour un col V, attention à ce qu’il ne soit pas trop profond. En outre, les lignes du vêtement doivent suivre vos flancs et le tee-shirt s’arrêter un peu en dessous de la ceinture. Cependant, la meilleure façon de porter ce vêtement restera celle qui vous permet d’être à l’aise en toutes circonstances !Ensuite, si vous choisissez un tee-shirt uni, il s’assortira parfaitement avec un jean, ou même un pantalon de costume. N’ayez pas peur d’oser les couleurs vives : votre haut sera alors la pièce centrale de votre tenue. Quant aux teintes plus sobres, elles s’associeront idéalement avec des pièces plus originales, comme un perfecto ou un pantalon à motifs.Si, au contraire, vous préférez vous habiller d’un tee-shirt avec motif, privilégiez des pièces plus sobres pour l’accompagner. Et dans cette catégorie, la marinière reste un incontournable, à associer par exemple avec un jean et une veste bleus, d’une nuance différente pour un effet de contraste. ;;;;t-shirt-homme;
316;1;Chemise Polo Homme;Vêtements Homme;0;"Chemises manches courtes, manches longues, chemises à rayures, chemises hawaïennes, chemises grandes tailles. Incontournable pour rester élégant au bureau comme en soirée, la chemise homme traverse les modes. Plutôt chemise à carreaux façon bûcheron ou chemise blanche de smoking ? Coupe cintrée, serrée ou ajustée ? Col italien ou col mao ? Chemises en lin ou en satin ? Dans ce rayon, large choix de chemises homme classiques et casual, chemises de luxe des grandes marques de prêt-à-porter masculin.

À la fois léger et classe, le polo pour homme peut conférer à son porteur un look chic tout en restant décontracté. À porter avec un jeans, un pantalon élégant ou de sport toutes les combinaisons sont permises. La chemise polo homme se porte aussi bien au-dessus que dans le pantalon. Cependant, ne jamais fermer tous les boutons du col. Et par-dessus le polo ? Choisir entre pull col V ou gilet. L'important, c'est de laisser le cou dégagé. Un style décontracté et un confort indéniable, voici ce que promet le polo en coton. Véritable pièce intemporelle du dressing, le polo n’est plus réservé qu’aux sportifs, il convient désormais aussi bien aux adultes qu’aux enfants. Pour les beaux jours, le polo à manches courtes est idéal pour composer des tenues décontractées. Lorsque le temps est plus frais, on opte pour le polo à manches longues, une pièce facile à associer et à accessoiriser. Pour une tenue masculine, on le porte avec un bermuda et une paire de mocassins pour un look dans l’air du temps. ";;;;chemise-polo-homme;
317;1;Pantacourt Bermuda Short Homme;Vêtements Homme;0;Pantacourt, bermuda et short sont les vêtements de l'été de prédilection.Pour les porter de façon élégante, il est fortement déconseillé de se vêtir de chaussettes hautes. Le bermuda et le short se portent volontiers avec des chaussures à lacets pas trop chics. Le pantacourt se porte bien avec des mocassins pour un style plus décontracté. En jean ou coton, avec ou sans poches, la mode de l'été ne fait pas d'exceptions. Excellent compromis entre un pantalon et un short, le bermuda allie confort et allure. Sa coupe au-dessus des genoux permet d’être à l’aise en toutes circonstances, sans négliger le style. Pour vous satisfaire, nous avons réuni une offre variée de bermudas pour homme bermuda en coton et ses multiples poches. Confortable à souhait, il permet de composer des looks dans l’air du temps. Plus élégant, le bermuda chino en coton et sa coupe droite permettent de composer des tenues estivales chics et modernes. Ajoutez une paire de mocassins et un polo à manches courtes pour compléter le look. Tout aussi tendance, le bermuda en jean, qui convient aux femmes comme aux hommes ou aux enfants. Pour un style décontracté, le bermuda en molleton est un indispensable. Sa matière douce et extensible est idéale pour les enfants, c’est pour cela que nous vous en proposons plusieurs modèles, de la version unie au bermuda imprimé. Parmi les nombreuses pièces disponibles, découvrez aussi les maillots de bain bermuda, idéals pour se baigner à la piscine ou à la plage. Pour composer une parfaite tenue estivale, nous vous suggérons une chemise à manches courtes ou un t-shirt à motifs;;;;bermuda-short-homme;
